candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner,winner2,uncontested,party_id2,state_seat_count,district_vote_count,state_vote_count,district_candidate_count,wasted_winning_votes,wasted_losing_votes,wasted_votes
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AR,0,False,0,0,democrat,4,280907,1068274,2,0.0,0,0.0
westerman-63418,westermanb,Bruce,True,Westerman,Bruce Westerman,2,republican,74.9,74.9,4,AR,182885,True,1,0,republican,4,244159,1068274,2,60805.0,0,60805.0
hicks-65567,hicksk,Kerry,False,Hicks,Kerry Hicks,1,libertarian,25.1,25.1,4,AR,61274,False,0,0,other,4,244159,1068274,2,0.0,61274,61274.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AR,0,False,0,0,democrat,4,244159,1068274,2,0.0,0,0.0
ohalleran-52697,ohallerant,Tom,False,O'Halleran,Tom O'Halleran,2,democrat,50.7,50.7,1,AZ,142219,True,1,0,democrat,9,280710,2511991,3,20473.0,0,20473.0
babeu-65711,babeup,Paul,False,Babeu,Paul Babeu,1,republican,43.4,43.4,1,AZ,121745,False,0,0,republican,9,280710,2511991,3,0.0,121745,121745.0
parrish-65828,parrishr,Ray,False,Parrish,Ray Parrish,3,green,6.0,6.0,1,AZ,16746,False,0,0,other,9,280710,2511991,3,0.0,16746,16746.0
mcsally-61631,mcsallym,Martha,True,McSally,Martha McSally,1,republican,57.0,57.0,2,AZ,179806,True,1,0,republican,9,315679,2511991,2,21966.0,0,21966.0
heinz-62732,heinzm,Matt,False,Heinz,Matt Heinz,2,democrat,43.0,43.0,2,AZ,135873,False,0,0,democrat,9,315679,2511991,2,0.0,135873,135873.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,AZ,0,False,0,0,other,9,315679,2511991,2,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AZ,0,False,0,0,republican,9,251199,2511991,1,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,AZ,0,False,0,0,other,9,251199,2511991,1,0.0,0,0.0
grijalva-1131,grijalvar,Raul,True,Grijalva,Raul Grijalva,1,democrat,100.0,100.0,3,AZ,251199,True,1,1,democrat,9,251199,2511991,1,125599.0,0,125599.0
gosar-61002,gosarp,Paul,True,Gosar,Paul Gosar,1,republican,71.5,71.5,4,AZ,203487,True,1,0,republican,9,284783,2511991,2,61095.0,0,61095.0
weisser-62330,weisserm,Mikel,False,Weisser,Mikel Weisser,2,democrat,28.5,28.5,4,AZ,81296,False,0,0,democrat,9,284783,2511991,2,0.0,81296,81296.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,AZ,0,False,0,0,other,9,284783,2511991,2,0.0,0,0.0
biggs-52611,biggsa,Andy,False,Biggs,Andy Biggs,1,republican,64.1,64.1,5,AZ,205184,True,1,0,republican,9,320124,2511991,2,45121.0,0,45121.0
fuentes-65715,fuentest,Talia,False,Fuentes,Talia Fuentes,2,democrat,35.9,35.9,5,AZ,114940,False,0,0,democrat,9,320124,2511991,2,0.0,114940,114940.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,AZ,0,False,0,0,other,9,320124,2511991,2,0.0,0,0.0
schweikert-5397,schweikertd,David,True,Schweikert,David Schweikert,1,republican,62.1,62.1,6,AZ,201578,True,1,0,republican,9,324444,2511991,2,39355.0,0,39355.0
williamson-62734,williamsonj,John,False,Williamson,John Williamson,2,democrat,37.9,37.9,6,AZ,122866,False,0,0,democrat,9,324444,2511991,2,0.0,122866,122866.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,AZ,0,False,0,0,other,9,324444,2511991,2,0.0,0,0.0
gallego-64361,gallegor,Ruben,True,Gallego,Ruben Gallego,2,democrat,75.3,75.3,7,AZ,119465,True,1,0,democrat,9,158751,2511991,2,40089.0,0,40089.0
nunez-65621,nuneze,Eve,False,Nunez,Eve Nunez,1,republican,24.7,24.7,7,AZ,39286,False,0,0,republican,9,158751,2511991,2,0.0,39286,39286.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,AZ,0,False,0,0,other,9,158751,2511991,2,0.0,0,0.0
franks-1121,frankst,Trent,True,Franks,Trent Franks,1,republican,68.6,68.6,8,AZ,204942,True,1,0,republican,9,298896,2511991,2,55493.0,0,55493.0
salazar-62718,salazarm,Mark,False,Salazar,Mark Salazar,2,green,31.4,31.4,8,AZ,93954,False,0,0,other,9,298896,2511991,2,0.0,93954,93954.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,8,AZ,0,False,0,0,democrat,9,298896,2511991,2,0.0,0,0.0
sinema-5418,sinemak,Kyrsten,True,Sinema,Kyrsten Sinema,2,democrat,60.9,60.9,9,AZ,169055,True,1,0,democrat,9,277405,2511991,2,30352.0,0,30352.0
giles-65622,gilesd,Dave,False,Giles,Dave Giles,1,republican,39.1,39.1,9,AZ,108350,False,0,0,republican,9,277405,2511991,2,0.0,108350,108350.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,9,AZ,0,False,0,0,other,9,277405,2511991,2,0.0,0,0.0
la-malfa-52531,la_malfad,Doug,True,La Malfa,Doug La Malfa,1,republican,59.1,59.1,1,CA,185448,True,1,0,republican,53,314036,13414018,2,28429.0,0,28429.0
reed-60871,reedj,Jim,False,Reed,Jim Reed,2,democrat,40.9,40.9,1,CA,128588,False,0,0,democrat,53,314036,13414018,2,0.0,128588,128588.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,1,CA,0,False,0,0,other,53,314036,13414018,2,0.0,0,0.0
huffman-62063,huffmanj,Jared,True,Huffman,Jared Huffman,1,democrat,76.9,76.9,2,CA,254194,True,1,0,democrat,53,330766,13414018,2,88810.0,0,88810.0
mensing-63594,mensingd,Dale,False,Mensing,Dale Mensing,2,republican,23.1,23.1,2,CA,76572,False,0,0,republican,53,330766,13414018,2,0.0,76572,76572.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,2,CA,0,False,0,0,other,53,330766,13414018,2,0.0,0,0.0
garamendi-7136,garamendij,John,True,Garamendi,John Garamendi,2,democrat,59.4,59.4,3,CA,152513,True,1,0,democrat,53,256966,13414018,2,24029.0,0,24029.0
cleek-65008,cleeke,Eugene,False,Cleek,Eugene Cleek,1,republican,40.6,40.6,3,CA,104453,False,0,0,republican,53,256966,13414018,2,0.0,104453,104453.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,3,CA,0,False,0,0,other,53,256966,13414018,2,0.0,0,0.0
mcclintock-52499,mcclintockt,Tom,True,McClintock,Tom McClintock,2,republican,62.7,62.7,4,CA,220133,True,1,0,republican,53,350978,13414018,2,44643.0,0,44643.0
derlet-65010,derletr,Robert,False,Derlet,Bob Derlet,1,democrat,37.3,37.3,4,CA,130845,False,0,0,democrat,53,350978,13414018,2,0.0,130845,130845.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,4,CA,0,False,0,0,other,53,350978,13414018,2,0.0,0,0.0
thompson-1115,thompsonm,Mike,True,Thompson,Mike Thompson,2,democrat,76.9,76.9,5,CA,224526,True,1,0,democrat,53,292091,13414018,2,78480.0,0,78480.0
santamaria-65014,santamariac,Carlos,False,Santamaria,Carlos Santamaria,1,republican,23.1,23.1,5,CA,67565,False,0,0,republican,53,292091,13414018,2,0.0,67565,67565.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,5,CA,0,False,0,0,other,53,292091,13414018,2,0.0,0,0.0
matsui-51416,matsuid,Doris,True,Matsui,Doris Matsui,2,democrat,75.4,75.4,6,CA,177565,True,1,0,democrat,53,235413,13414018,2,59858.0,0,59858.0
evans-65101,evansr,Robert,False,Evans,Robert Evans,1,republican,24.6,24.6,6,CA,57848,False,0,0,republican,53,235413,13414018,2,0.0,57848,57848.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,6,CA,0,False,0,0,other,53,235413,13414018,2,0.0,0,0.0
bera-60686,beraa,Ami,True,Bera,Ami Bera,1,democrat,51.2,51.2,7,CA,152133,True,1,0,democrat,53,297301,13414018,2,3482.0,0,3482.0
jones-65102,joness,Scott,False,Jones,Scott Jones,2,republican,48.8,48.8,7,CA,145168,False,0,0,republican,53,297301,13414018,2,0.0,145168,145168.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,7,CA,0,False,0,0,other,53,297301,13414018,2,0.0,0,0.0
cook-62339,cookp,Paul,True,Cook,Paul Cook,1,republican,62.3,62.3,8,CA,136972,True,1,0,republican,53,220007,13414018,2,26968.0,0,26968.0
ramirez-65019,ramirezr,Rita,False,Ramirez,Rita Ramirez,2,democrat,37.7,37.7,8,CA,83035,False,0,0,democrat,53,220007,13414018,2,0.0,83035,83035.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,8,CA,0,False,0,0,other,53,220007,13414018,2,0.0,0,0.0
mcnerney-50403,mcnerneyj,Jerry,True,McNerney,Jerry McNerney,2,democrat,57.4,57.4,9,CA,133163,True,1,0,democrat,53,232155,13414018,2,17085.0,0,17085.0
amador-63605,amadort,Tony,False,Amador,Tony Amador,1,republican,42.6,42.6,9,CA,98992,False,0,0,republican,53,232155,13414018,2,0.0,98992,98992.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,9,CA,0,False,0,0,other,53,232155,13414018,2,0.0,0,0.0
denham-52493,denhamj,Jeff,True,Denham,Jeff Denham,1,republican,51.7,51.7,10,CA,124671,True,1,0,republican,53,241141,13414018,2,4100.0,0,4100.0
eggman-63608,eggmanm,Michael,False,Eggman,Michael Eggman,2,democrat,48.3,48.3,10,CA,116470,False,0,0,democrat,53,241141,13414018,2,0.0,116470,116470.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,10,CA,0,False,0,0,other,53,241141,13414018,2,0.0,0,0.0
desaulnier-60108,desaulnierm,Mark,True,DeSaulnier,Mark DeSaulnier,1,democrat,72.1,72.1,11,CA,214868,True,1,0,democrat,53,298209,13414018,2,65763.0,0,65763.0
petersen-58712,petersenr,Roger,False,Petersen,Roger Allen Petersen,2,republican,27.9,27.9,11,CA,83341,False,0,0,republican,53,298209,13414018,2,0.0,83341,83341.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,11,CA,0,False,0,0,other,53,298209,13414018,2,0.0,0,0.0
pelosi-24,pelosin,Nancy,True,Pelosi,Nancy Pelosi,1,democrat,80.9,80.9,12,CA,274035,True,1,0,democrat,53,338845,13414018,2,104612.0,0,104612.0
picus-65023,picusp,Preston,False,Picus,Preston Picus,2,independent,19.1,19.1,12,CA,64810,False,0,0,other,53,338845,13414018,2,0.0,64810,64810.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,12,CA,0,False,0,0,republican,53,338845,13414018,2,0.0,0,0.0
lee-28,leeb,Barbara,True,Lee,Barbara Lee,2,democrat,90.8,90.8,13,CA,293117,True,1,0,democrat,53,322871,13414018,2,131681.0,0,131681.0
caro-65024,caros,Sue,False,Caro,Sue Caro,1,republican,9.2,9.2,13,CA,29754,False,0,0,republican,53,322871,13414018,2,0.0,29754,29754.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,13,CA,0,False,0,0,other,53,322871,13414018,2,0.0,0,0.0
speier-52489,speierj,Jackie,True,Speier,Jackie Speier,2,democrat,80.9,80.9,14,CA,231630,True,1,0,democrat,53,286447,13414018,2,88406.0,0,88406.0
cardenas-65579,cardenasa,Angel,False,Cardenas,Angel Cardenas,1,republican,19.1,19.1,14,CA,54817,False,0,0,republican,53,286447,13414018,2,0.0,54817,54817.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,14,CA,0,False,0,0,other,53,286447,13414018,2,0.0,0,0.0
swalwell-62343,swalwelle,Eric,True,Swalwell,Eric Swalwell,1,democrat,73.8,73.8,15,CA,198578,True,1,0,democrat,53,269197,13414018,2,63979.0,0,63979.0
turner-65025,turnerd,Danny,False,Turner,Danny Turner,2,republican,26.2,26.2,15,CA,70619,False,0,0,republican,53,269197,13414018,2,0.0,70619,70619.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,15,CA,0,False,0,0,other,53,269197,13414018,2,0.0,0,0.0
costa-6818,costaj,Jim,True,Costa,Jim Costa,1,democrat,58.0,58.0,16,CA,97473,True,1,0,democrat,53,167956,13414018,2,13494.0,0,13494.0
tacherra-62837,tacherraj,Johnny,False,Tacherra,Johnny Tacherra,2,republican,42.0,42.0,16,CA,70483,False,0,0,republican,53,167956,13414018,2,0.0,70483,70483.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,16,CA,0,False,0,0,other,53,167956,13414018,2,0.0,0,0.0
khanna-7547,khannar,Ro,False,Khanna,Ro Khanna,2,democrat,61.0,61.0,17,CA,142268,True,1,0,democrat,53,233192,13414018,2,25671.0,0,25671.0
honda-1206,hondam,Mike,True,Honda,Mike Honda,1,democrat,39.0,39.0,17,CA,90924,False,0,0,democrat,53,233192,13414018,2,0.0,90924,90924.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,17,CA,0,False,0,0,republican,53,233192,13414018,2,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,17,CA,0,False,0,0,other,53,233192,13414018,2,0.0,0,0.0
eshoo-43,eshooa,Anna,True,Eshoo,Anna Eshoo,1,democrat,71.1,71.1,18,CA,230460,True,1,0,democrat,53,323930,13414018,2,68494.0,0,68494.0
fox-63628,foxr,Richard,False,Fox,Richard Fox,2,republican,28.9,28.9,18,CA,93470,False,0,0,republican,53,323930,13414018,2,0.0,93470,93470.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,18,CA,0,False,0,0,other,53,323930,13414018,2,0.0,0,0.0
lofgren-49,lofgrenz,Zoe,True,Lofgren,Zoe Lofgren,2,democrat,73.9,73.9,19,CA,181802,True,1,0,democrat,53,245863,13414018,2,58870.0,0,58870.0
lancaster-65029,lancasterb,Burt,False,Lancaster,G. Burt Lancaster,1,republican,26.1,26.1,19,CA,64061,False,0,0,republican,53,245863,13414018,2,0.0,64061,64061.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,19,CA,0,False,0,0,other,53,245863,13414018,2,0.0,0,0.0
panetta-65030,panettaj,Jimmy,False,Panetta,Jimmy Panetta,2,democrat,70.8,70.8,20,CA,180980,True,1,0,democrat,53,255791,13414018,2,53084.0,0,53084.0
lucius-65031,luciusc,Casey,False,Lucius,Casey Lucius,1,republican,29.2,29.2,20,CA,74811,False,0,0,republican,53,255791,13414018,2,0.0,74811,74811.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,20,CA,0,False,0,0,other,53,255791,13414018,2,0.0,0,0.0
valadao-62229,valadaod,David,True,Valadao,David Valadao,2,republican,56.7,56.7,21,CA,75126,True,1,0,republican,53,132408,13414018,2,8921.0,0,8921.0
huerta-65034,huertae,Emilio,False,Huerta,Emilio Huerta,1,democrat,43.3,43.3,21,CA,57282,False,0,0,democrat,53,132408,13414018,2,0.0,57282,57282.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,21,CA,0,False,0,0,other,53,132408,13414018,2,0.0,0,0.0
nunes-67,nunesd,Devin,True,Nunes,Devin Nunes,2,republican,67.6,67.6,22,CA,158755,True,1,0,republican,53,234966,13414018,2,41271.0,0,41271.0
campos-65037,camposl,Louie,False,Campos,Louie Campos,1,democrat,32.4,32.4,22,CA,76211,False,0,0,democrat,53,234966,13414018,2,0.0,76211,76211.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,22,CA,0,False,0,0,other,53,234966,13414018,2,0.0,0,0.0
mccarthy-52561,mccarthyk,Kevin,True,McCarthy,Kevin McCarthy,1,republican,69.2,69.2,23,CA,167116,True,1,0,republican,53,241584,13414018,2,46323.0,0,46323.0
reed-65039,reedw,Wendy,False,Reed,Wendy Reed,2,democrat,30.8,30.8,23,CA,74468,False,0,0,democrat,53,241584,13414018,2,0.0,74468,74468.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,23,CA,0,False,0,0,other,53,241584,13414018,2,0.0,0,0.0
carbajal-65043,carbajals,Salud,False,Carbajal,Salud Carbajal,1,democrat,53.4,53.4,24,CA,166034,True,1,0,democrat,53,310814,13414018,2,10626.0,0,10626.0
fareed-63635,fareedj,Justin,False,Fareed,Justin Fareed,2,republican,46.6,46.6,24,CA,144780,False,0,0,republican,53,310814,13414018,2,0.0,144780,144780.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,24,CA,0,False,0,0,other,53,310814,13414018,2,0.0,0,0.0
knight-63641,knights,Steve,True,Knight,Steve Knight,2,republican,53.1,53.1,25,CA,138755,True,1,0,republican,53,261161,13414018,2,8174.0,0,8174.0
caforio-65048,caforiob,Bryan,False,Caforio,Bryan Caforio,1,democrat,46.9,46.9,25,CA,122406,False,0,0,democrat,53,261161,13414018,2,0.0,122406,122406.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,25,CA,0,False,0,0,other,53,261161,13414018,2,0.0,0,0.0
brownley-62395,brownleyj,Julia,True,Brownley,Julia Brownley,1,democrat,60.4,60.4,26,CA,169248,True,1,0,democrat,53,280307,13414018,2,29094.0,0,29094.0
dagnesses-63644,dagnessesr,Rafael,False,Dagnesses,Rafael Dagnesses,2,republican,39.6,39.6,26,CA,111059,False,0,0,republican,53,280307,13414018,2,0.0,111059,111059.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,26,CA,0,False,0,0,other,53,280307,13414018,2,0.0,0,0.0
chu-52450,chuj,Judy,True,Chu,Judy Chu,1,democrat,67.4,67.4,27,CA,168977,True,1,0,democrat,53,250632,13414018,2,43660.0,0,43660.0
orswell-62396,orswellj,Jack,False,Orswell,Jack Orswell,2,republican,32.6,32.6,27,CA,81655,False,0,0,republican,53,250632,13414018,2,0.0,81655,81655.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,27,CA,0,False,0,0,other,53,250632,13414018,2,0.0,0,0.0
schiff-89,schiffa,Adam,True,Schiff,Adam Schiff,1,democrat,78.0,78.0,28,CA,210883,True,1,0,democrat,53,270409,13414018,2,75678.0,0,75678.0
solis-65051,solisl,Lenore,False,Solis,Lenore Solis,2,republican,22.0,22.0,28,CA,59526,False,0,0,republican,53,270409,13414018,2,0.0,59526,59526.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,28,CA,0,False,0,0,other,53,270409,13414018,2,0.0,0,0.0
cardenas-6688,cardenast,Tony,True,Cardenas,Tony Cárdenas,2,democrat,74.7,74.7,29,CA,128407,True,1,0,democrat,53,171824,13414018,2,42494.0,0,42494.0
alarcon-52500,alarconr,Richard,False,Alarcon,Richard Alarcon,1,democrat,25.3,25.3,29,CA,43417,False,0,0,democrat,53,171824,13414018,2,0.0,43417,43417.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,29,CA,0,False,0,0,republican,53,171824,13414018,2,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,29,CA,0,False,0,0,other,53,171824,13414018,2,0.0,0,0.0
sherman-84,shermanb,Brad,True,Sherman,Brad Sherman,2,democrat,72.6,72.6,30,CA,205279,True,1,0,democrat,53,282604,13414018,2,63976.0,0,63976.0
reed-60848,reedm,Mark,False,Reed,Mark Reed,1,republican,27.4,27.4,30,CA,77325,False,0,0,republican,53,282604,13414018,2,0.0,77325,77325.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,30,CA,0,False,0,0,other,53,282604,13414018,2,0.0,0,0.0
aguilar-62883,aguilarp,Pete,True,Aguilar,Pete Aguilar,1,democrat,56.1,56.1,31,CA,121070,True,1,0,democrat,53,215936,13414018,2,13101.0,0,13101.0
chabot-63653,chabotp,Paul,False,Chabot,Paul Chabot,2,republican,43.9,43.9,31,CA,94866,False,0,0,republican,53,215936,13414018,2,0.0,94866,94866.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,31,CA,0,False,0,0,other,53,215936,13414018,2,0.0,0,0.0
napolitano-113,napolitanog,Grace,True,Napolitano,Grace Napolitano,2,democrat,61.6,61.6,32,CA,114926,True,1,0,democrat,53,186646,13414018,2,21602.0,0,21602.0
hernandez-65059,hernandezr,Roger,False,Hernandez,Roger Hernandez,1,democrat,38.4,38.4,32,CA,71720,False,0,0,democrat,53,186646,13414018,2,0.0,71720,71720.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,32,CA,0,False,0,0,republican,53,186646,13414018,2,0.0,0,0.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,32,CA,0,False,0,0,other,53,186646,13414018,2,0.0,0,0.0
lieu-63666,lieut,Ted,True,Lieu,Ted Lieu,1,democrat,66.4,66.4,33,CA,219397,True,1,0,democrat,53,330219,13414018,2,54287.0,0,54287.0
wright-65106,wrightk,Kenneth,False,Wright,Kenneth Wright,2,republican,33.6,33.6,33,CA,110822,False,0,0,republican,53,330219,13414018,2,0.0,110822,110822.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,33,CA,0,False,0,0,other,53,330219,13414018,2,0.0,0,0.0
becerra-94,becerrax,Xavier,True,Becerra,Xavier Becerra,1,democrat,77.2,77.2,34,CA,122842,True,1,0,democrat,53,159156,13414018,2,43263.0,0,43263.0
edwards-63681,edwardsa,Adrienne,False,Edwards,Adrienne Edwards,2,democrat,22.8,22.8,34,CA,36314,False,0,0,democrat,53,159156,13414018,2,0.0,36314,36314.0
dummy,dummy,dummy,False,dummy,dummy,0,dummy,0.0,0.0,34,CA,0,False,0,0,republican,53,159156,13414018,2,0.0,0,0.0
