city,year,weekofyear,total_cases
sj,2012,17,23
sj,2012,18,22
sj,2012,19,0
sj,2012,20,26
sj,2012,21,0
sj,2012,22,27
sj,2012,23,1
sj,2012,24,27
sj,2012,25,0
sj,2012,26,0
sj,2012,27,23
sj,2012,28,35
sj,2012,29,2
sj,2012,30,0
sj,2012,31,32
sj,2012,32,35
sj,2012,33,0
sj,2012,34,30
sj,2012,35,0
sj,2012,36,39
sj,2012,37,3
sj,2012,38,50
sj,2012,39,10
sj,2012,40,40
sj,2012,41,4
sj,2012,42,48
sj,2012,43,10
sj,2012,44,58
sj,2012,45,21
sj,2012,46,20
sj,2012,47,57
sj,2012,48,52
sj,2012,49,20
sj,2012,50,55
sj,2012,51,26
sj,2013,1,63
sj,2013,2,33
sj,2013,3,47
sj,2013,4,18
sj,2013,5,32
sj,2013,6,55
sj,2013,7,9
sj,2013,8,37
sj,2013,9,25
sj,2013,10,52
sj,2013,11,58
sj,2013,12,33
sj,2013,13,30
sj,2013,14,52
sj,2013,15,15
sj,2013,16,39
sj,2013,17,26
iq,2010,26,45
iq,2010,27,29
iq,2010,28,16
iq,2010,29,23
iq,2010,30,42
iq,2010,31,17
iq,2010,32,31
iq,2010,33,25
iq,2010,34,13
iq,2010,35,33
iq,2010,36,19
iq,2010,37,31
iq,2010,38,17
iq,2010,39,33
iq,2010,40,17
iq,2010,41,10
iq,2010,42,28
iq,2010,43,15
iq,2010,44,27
iq,2010,45,16
iq,2010,46,25
iq,2010,47,6
iq,2010,48,26
iq,2010,49,7
iq,2010,50,19
iq,2010,51,4
iq,2011,52,25
iq,2011,1,7
iq,2011,2,25
iq,2011,3,3
iq,2011,4,19
iq,2011,5,2
iq,2011,6,21
iq,2011,7,20
iq,2011,8,3
iq,2011,9,23
iq,2011,10,6
iq,2011,11,24
iq,2011,12,4
iq,2011,13,24
iq,2011,14,2
iq,2011,15,0
iq,2011,16,20
iq,2011,17,29
iq,2011,18,0
iq,2011,19,0
iq,2011,20,22
iq,2011,21,0
iq,2011,22,28
iq,2011,23,0
iq,2011,24,26
iq,2011,25,0
iq,2011,26,25
iq,2011,27,0
iq,2011,28,27
iq,2011,29,31
iq,2011,30,0
iq,2011,31,35
iq,2011,32,0
iq,2011,33,0
iq,2011,34,35
iq,2011,35,30
iq,2011,36,0
iq,2011,37,40
iq,2011,38,3
iq,2011,39,36
iq,2011,40,0
iq,2011,41,36
iq,2011,42,0
iq,2011,43,35
iq,2011,44,0
iq,2011,45,0
iq,2011,46,41
iq,2011,47,52
iq,2011,48,8
iq,2011,49,44
iq,2011,50,2
iq,2011,51,48
iq,2012,52,15
iq,2012,1,54
iq,2012,2,21
iq,2012,3,17
iq,2012,4,53
iq,2012,5,15
iq,2012,6,56
iq,2012,7,61
iq,2012,8,23
iq,2012,9,31
iq,2012,10,64
iq,2012,11,48
iq,2012,12,20
iq,2012,13,61
iq,2012,14,29
iq,2012,15,44
iq,2012,16,16
iq,2012,17,25
iq,2012,18,58
iq,2012,19,31
iq,2012,20,63
iq,2012,21,30
iq,2012,22,55
iq,2012,23,20
iq,2012,24,45
iq,2012,25,28
iq,2012,26,48
iq,2012,27,15
iq,2012,28,36
iq,2012,29,46
iq,2012,30,26
iq,2012,31,35
iq,2012,32,19
iq,2012,33,13
iq,2012,34,27
iq,2012,35,22
iq,2012,36,36
iq,2012,37,13
iq,2012,38,33
iq,2012,39,16
iq,2012,40,32
iq,2012,41,28
iq,2012,42,17
iq,2012,43,15
iq,2012,44,33
iq,2012,45,14
iq,2012,46,27
iq,2012,47,22
iq,2012,48,11
iq,2012,49,11
iq,2012,50,23
iq,2012,51,24
iq,2013,1,9
iq,2013,2,27
iq,2013,3,12
iq,2013,4,17
iq,2013,5,9
iq,2013,6,17
iq,2013,7,12
iq,2013,8,26
iq,2013,9,4
iq,2013,10,24
iq,2013,11,6
iq,2013,12,23
iq,2013,13,0
iq,2013,14,5
iq,2013,15,25
iq,2013,16,1
iq,2013,17,20
iq,2013,18,0
iq,2013,19,2
iq,2013,20,5
iq,2013,21,0
iq,2013,22,0
iq,2013,23,0
iq,2013,24,0
iq,2013,25,0
iq,2013,26,0
